InteractionID,CustomerID,CustomerName,City,Industry,SalesRep,LeadSource,InteractionDate,OpportunityValue,Status,ContactMethod,SatisfactionScore
1,CUST1001,Jordan Marquez,Bangalore,Manufacturing,Anjali Rao,Advertisement,02-01-2026,75301.66,Lost,Phone,7
2,CUST1002,Arthur Durham,Chennai,IT,Anjali Rao,Event,09-12-2025,33119.13,Lost,Meeting,10
3,CUST1003,Douglas Patel,Bangalore,Retail,Rahul Verma,LinkedIn,28-05-2026,39812.48,Won,Email,5
4,CUST1004,Gordon Benson,Bangalore,IT,Anjali Rao,Website,24-09-2025,54792.99,Lost,Email,8
5,CUST1005,Jacob Scott,Pune,Finance,Kiran Das,Advertisement,06-05-2026,81452.54,Lost,Meeting,1
6,CUST1006,Patrick Gilbert,Bangalore,Manufacturing,Rahul Verma,LinkedIn,07-08-2025,84810.24,Open,Phone,5
7,CUST1007,Amber Wong,Pune,IT,Priya Sharma,Website,21-10-2025,69624.73,Won,Email,7
8,CUST1008,Kim Chapman,Hyderabad,IT,Priya Sharma,LinkedIn,10-05-2026,78075.99,Lost,Email,6
9,CUST1009,Tiffany Coleman,Hyderabad,IT,Priya Sharma,LinkedIn,07-02-2026,95002.99,Won,Meeting,2
10,CUST1010,Jasmine Harper,Bangalore,Healthcare,Priya Sharma,Advertisement,09-09-2025,79340.87,Open,Meeting,4
11,CUST1011,Aaron Smith,Chennai,Healthcare,Kiran Das,LinkedIn,03-03-2026,14628.71,Lost,Meeting,8
12,CUST1012,Ryan Marshall,Hyderabad,Finance,Priya Sharma,Event,15-07-2025,12456.54,Won,Phone,10
13,CUST1013,Andrew Mendez,Hyderabad,Finance,Priya Sharma,Advertisement,17-07-2025,79920.34,Won,Meeting,8
14,CUST1014,Laura Prince,Pune,IT,Rahul Verma,Referral,19-02-2026,23465.34,Won,Email,3
15,CUST1015,Steve Ford,Chennai,IT,Anjali Rao,Referral,08-04-2026,34688.93,Lost,Phone,6
16,CUST1016,Cheryl Carter,Hyderabad,IT,Rahul Verma,Event,26-07-2025,40240.24,Won,Meeting,4
17,CUST1017,Cody Smith,Mumbai,Manufacturing,Priya Sharma,Event,01-09-2025,83123.93,Lost,Email,6
18,CUST1018,Sarah Scott,Chennai,Manufacturing,Priya Sharma,Website,19-11-2025,61148.55,Lost,Meeting,6
19,CUST1019,Ricky Bradley,Pune,Manufacturing,Rahul Verma,Website,25-02-2026,20850.66,Open,Meeting,3
20,CUST1020,Carlos Short,Bangalore,Finance,Priya Sharma,Event,22-05-2026,70204.79,Open,Phone,9
21,CUST1021,Carl Martin,Chennai,Healthcare,Anjali Rao,Event,13-01-2026,52686.24,Won,Meeting,5
22,CUST1022,Brian Glass,Hyderabad,Finance,Kiran Das,Website,11-10-2025,52591.47,Lost,Phone,8
23,CUST1023,Jasmin Silva,Chennai,Retail,Rahul Verma,Website,11-11-2025,17436.05,Lost,Meeting,5
24,CUST1024,Peter Kelly,Pune,Finance,Rahul Verma,Event,16-09-2025,76871.32,Open,Phone,4
25,CUST1025,Edward Taylor,Bangalore,Manufacturing,Anjali Rao,Advertisement,24-04-2026,32663.3,Won,Phone,5
26,CUST1026,Joseph Walsh,Pune,Manufacturing,Priya Sharma,Advertisement,21-06-2026,74015.36,Won,Meeting,3
27,CUST1027,Jennifer Sweeney,Pune,Healthcare,Rahul Verma,Advertisement,16-06-2026,22963.74,Won,Meeting,8
28,CUST1028,Edwin Jackson Jr.,Delhi,Retail,Priya Sharma,LinkedIn,30-08-2025,91999.35,Won,Meeting,10
29,CUST1029,Amber May,Chennai,Retail,Priya Sharma,Event,11-03-2026,22164.88,Lost,Phone,3
30,CUST1030,Danielle Burke,Bangalore,IT,Anjali Rao,Referral,08-09-2025,32448.44,Lost,Meeting,7
31,CUST1031,Jonathan Cruz,Hyderabad,Healthcare,Kiran Das,Referral,01-07-2025,47022.43,Open,Meeting,5
32,CUST1032,Daniel Arellano,Pune,Healthcare,Priya Sharma,Event,15-04-2026,19467.96,Lost,Email,8
33,CUST1033,Dana Ochoa,Chennai,IT,Priya Sharma,Website,05-01-2026,91920.21,Lost,Phone,10
34,CUST1034,Steven Rodgers,Chennai,Healthcare,Anjali Rao,Referral,06-03-2026,58147.75,Lost,Email,4
35,CUST1035,Kelly Ward,Delhi,Manufacturing,Anjali Rao,LinkedIn,21-08-2025,28044.6,Open,Meeting,10
36,CUST1036,Miranda Adams,Pune,Finance,Kiran Das,Referral,13-03-2026,80522.12,Open,Email,1
37,CUST1037,Thomas Johnson,Hyderabad,Finance,Rahul Verma,Event,12-06-2026,27746.13,Won,Phone,3
38,CUST1038,Rodney Schmidt,Hyderabad,Finance,Anjali Rao,Website,27-11-2025,21643.96,Open,Email,2
39,CUST1039,Matthew Martinez,Pune,Retail,Rahul Verma,Referral,24-06-2025,6181.24,Lost,Email,1
40,CUST1040,Keith Barnes,Bangalore,Manufacturing,Rahul Verma,Advertisement,26-12-2025,36539.77,Open,Meeting,9
41,CUST1041,Daniel Hansen,Hyderabad,IT,Kiran Das,LinkedIn,28-05-2026,80762.17,Won,Meeting,2
42,CUST1042,Kyle Roy,Bangalore,Manufacturing,Kiran Das,LinkedIn,07-06-2026,72217.28,Lost,Meeting,1
43,CUST1043,Shelia Webb,Delhi,Retail,Rahul Verma,LinkedIn,16-03-2026,65417.14,Won,Meeting,9
44,CUST1044,Diane Lee,Delhi,IT,Kiran Das,Website,23-07-2025,83846.09,Lost,Email,9
