CustomerID,CustomerName,Gender,Age,City,State,CustomerType
5000,Rahul Das,Male,22,Pune,Maharashtra,Online
5001,Anita Jain,Male,50,Mumbai,Maharashtra,Retail
5002,Priya Das,Female,22,Delhi,Delhi,Retail
5003,Rohit Das,Male,54,Mumbai,Maharashtra,Retail
5004,Pooja Sharma,Female,21,Hyderabad,Telangana,Retail
5005,Rohit Singh,Female,44,Delhi,Delhi,Retail
5006,Priya Jain,Female,53,Lucknow,Uttar Pradesh,Online
5007,Priya Jain,Male,41,Bengaluru,Karnataka,Retail
5008,Priya Jain,Male,57,Lucknow,Uttar Pradesh,Retail
5009,Rohit Das,Female,47,Ahmedabad,Gujarat,Online
5010,Anita Reddy,Male,29,Ahmedabad,Gujarat,Online
5011,Priya Jain,Female,51,Hyderabad,Telangana,Corporate
5012,Neha Reddy,Male,25,Pune,Maharashtra,Online
5013,Rahul Nair,Male,49,Kolkata,West Bengal,Corporate
5014,Priya Verma,Female,39,Delhi,Delhi,Online
5015,Pooja Iyer,Female,22,Pune,Maharashtra,Retail
5016,Neha Patel,Male,64,Chennai,Tamil Nadu,Online
5017,Pooja Iyer,Female,63,Chennai,Tamil Nadu,Corporate
5018,Amit Iyer,Female,28,Pune,Maharashtra,Online
5019,Neha Sharma,Male,36,Mumbai,Maharashtra,Retail
5020,Vikas Das,Female,23,Hyderabad,Telangana,Retail
5021,Vikas Verma,Female,26,Ahmedabad,Gujarat,Corporate
5022,Kiran Das,Female,61,Lucknow,Uttar Pradesh,Corporate
5023,Rahul Patel,Male,27,Hyderabad,Telangana,Retail
5024,Amit Iyer,Male,34,Hyderabad,Telangana,Corporate
5025,Rahul Das,Female,57,Delhi,Delhi,Online
5026,Rahul Verma,Male,47,Pune,Maharashtra,Online
5027,Vikas Das,Female,43,Lucknow,Uttar Pradesh,Retail
5028,Vikas Sharma,Male,22,Ahmedabad,Gujarat,Retail
5029,Rahul Patel,Female,56,Ahmedabad,Gujarat,Retail
5030,Amit Jain,Male,52,Mumbai,Maharashtra,Retail
5031,Pooja Sharma,Male,31,Pune,Maharashtra,Online
5032,Rahul Reddy,Female,56,Kolkata,West Bengal,Corporate
5033,Priya Patel,Female,47,Ahmedabad,Gujarat,Corporate
5034,Kiran Patel,Male,24,Ahmedabad,Gujarat,Online
5035,Kiran Iyer,Male,51,Pune,Maharashtra,Retail
5036,Rohit Nair,Male,62,Hyderabad,Telangana,Online
5037,Rohit Reddy,Male,62,Delhi,Delhi,Corporate
5038,Anita Singh,Female,32,Lucknow,Uttar Pradesh,Online
5039,Rohit Nair,Male,57,Lucknow,Uttar Pradesh,Retail
5040,Vikas Gupta,Male,51,Hyderabad,Telangana,Corporate
5041,Amit Sharma,Female,48,Pune,Maharashtra,Corporate
5042,Pooja Nair,Female,64,Hyderabad,Telangana,Corporate
